slovo;vyskyty
abnormálny;928
absentérsky;2
absolútny;33628
abstrahovaný;133
absurdný;11086
adaptabilný;212
adaptívny;582
adekvátny;10279
adresný;1306
afektovaný;374
agilný;1642
agresívny;14273
akceptovateľný;3193
aktualizovaný;5326
aktuálny;79351
aktívny;62143
akurátny;384
akútny;9306
alarmujúci;3224
alergický;3301
alibistický;761
altruistický;249
amatérsky;9890
ambiciózny;8766
amorálny;477
anarchistický;685
angažovaný;2747
anjelský;2181
anomalistický;4
antagonistický;459
antidemokratický;211
antidepresívny;77
antikomunistický;546
antioxidačný;554
antisemitský;1460
antisociálny;379
apatický;1044
apokalyptický;1255
apolitický;980
archaický;1853
arogantný;2982
asketický;1100
asymetrický;1323
atletický;11556
atraktívny;22994
atrofujúci;3
autentický;9952
autokratický;643
autoritatívny;3036
autoritátorský;2
avantgardný;2114
averzívny;51
banálny;4010
barbarský;2810
baviaci;111
bedlivý;188
benevolentný;824
besný;1514
bezbolestný;926
bezbožný;1190
bezcenný;2501
bezcharakterný;454
bezchybný;3477
bezcieľny;371
bezcitný;1640
bezduchý;1759
bezdôvodný;1069
bezhlučný;37
bezkonfliktný;298
bezkonkurenčný;947
bezmilostný;0
bezmocný;7593
bezmyšlienkovitý;237
beznádejný;3334
bezoblačný;435
bezobsažný;404
bezodplatný;862
bezohľadný;3013
bezočivý;2117
bezpečný;27234
bezplatný;14870
bezpodmienečný;1551
bezpointový;2
bezprecedentný;2378
bezproblémový;5655
bezradný;2808
bezstarostný;2816
beztvarý;598
bezvadný;88
bezvýchodiskový;975
bezvýpadkový;1
bezvýsledný;617
bezvýznamný;6091
bezzubý;1957
bezzásadový;132
bezúhonný;1606
bezútešný;1395
bezúčelný;156
bezškrupulózny;34
beštiálny;384
bežný;90105
biedny;7381
bitkársky;209
bitý;821
bizarný;5106
blahobytný;444
blahodarný;1598
blahodárny;245
blahoprajný;532
blahosklonný;451
blankytný;308
blažený;2872
blbý;1855
bledý;10138
blokovaný;827
blokujúci;285
bludný;2199
bláznivý;8755
bodavý;427
bohabojný;553
bohatý;91590
bojachtivý;130
bojazlivý;1545
bojovný;6200
bojácny;43
bolestivý;7325
bolestný;7070
bombastický;1074
bonusový;1072
boľavý;4144
božský;15481
bravúrny;1129
brilantný;2525
brunátny;44
brutálny;7099
brýzgajúci;2
bujarý;1427
bujný;3216
burcujúci;335
byrokratický;2934
bystrozraký;274
bystrý;13705
báječný;2438
bájny;1500
bársaký;86
búriaci;248
búrlivý;10585
bľabotajúci;43
cenený;1166
cenný;61294
certifikovaný;1716
chabý;2700
chamtivý;937
chaotický;3191
charakterný;640
charitatívny;7493
charizmatický;3423
chatrný;1217
chladivý;1078
chladnokrvný;1208
chladný;26319
chlapský;2141
chlipný;309
cholerický;181
chorobný;3266
choromyseľný;330
