slovo,emocia,vyskyty
dobrý,1,607293
posledný,-1,483442
starý,-1,460967
dobre,1,459186
domáci,1,398795
dôležitý,1,281787
svetový,1,262037
známy,1,250419
súčasný,1,205691
zlý,-1,203059
silný,1,192190
ťažký,-1,181206
svätý,1,179992
potrebný,1,176998
úplne,1,160520
ekonomický,1,157733
významný,1,143081
zaujímavý,1,139489
pekný,1,136059
úspešný,1,135119
rýchlo,1,134953
jasný,1,131350
presne,1,124894
kultúrny,1,120856
správny,1,118424
ťažko,-1,116934
otvorený,1,106660
zlatý,1,106346
jednoduchý,1,105727
pripravený,1,105620
rýchly,1,102534
vhodný,1,102150
spoločenský,1,99564
schopný,1,95912
krásny,2,94412
odborný,1,93943
výrazne,1,92465
bohatý,1,91590
skutočne,1,90321
bežný,1,90105
výrazný,1,90023
nijaký,-1,89112
čistý,2,88009
vážny,-1,87229
skutočný,1,87196
kvalitný,1,86622
slabý,-1,85434
žiadne,-1,85027
moderný,1,84891
policajný,-1,82977
aktuálny,1,79351
živý,1,78815
špeciálny,1,77792
spokojný,1,76026
náročný,-1,75994
tvrdý,-1,73780
šťastný,1,72431
ľahký,1,71149
rozhodne,1,71115
ľahko,1,70348
tradičný,1,70306
zle,-1,69997
vážne,-1,69890
pozitívny,1,69277
mŕtvy,-2,68753
reálny,1,68626
drahý,-1,67976
správne,1,67885
mimoriadne,1,67059
výborný,2,66173
cudzí,-1,64654
aktívny,1,62143
demokratický,1,61985
jednoducho,1,61454
cenný,1,61294
nebezpečný,-1,60840
presný,1,60310
zdravý,1,59474
jedlo,1,59059
samostatný,1,59012
zvláštny,1,58603
skvelý,2,58299
