slovo,emocia,vyskyty
dobrý,1,607293
posledný,-1,483442
starý,-1,460967
dobre,1,459186
domáci,1,398795
dôležitý,1,281787
svetový,1,262037
známy,1,250419
súčasný,1,205691
zlý,-1,203059
silný,1,192190
ťažký,-1,181206
svätý,1,179992
potrebný,1,176998
úplne,1,160520
ekonomický,1,157733
významný,1,143081
zaujímavý,1,139489
pekný,1,136059
úspešný,1,135119
rýchlo,1,134953
jasný,1,131350
presne,1,124894
kultúrny,1,120856
správny,1,118424
ťažko,-1,116934
otvorený,1,106660
zlatý,1,106346
jednoduchý,1,105727
pripravený,1,105620
rýchly,1,102534
vhodný,1,102150
spoločenský,1,99564
schopný,1,95912
odborný,1,93943
výrazne,1,92465
bohatý,1,91590
skutočne,1,90321
bežný,1,90105
výrazný,1,90023
nijaký,-1,89112
vážny,-1,87229
skutočný,1,87196
kvalitný,1,86622
slabý,-1,85434
žiadne,-1,85027
moderný,1,84891
policajný,-1,82977
aktuálny,1,79351
živý,1,78815
špeciálny,1,77792
spokojný,1,76026
náročný,-1,75994
tvrdý,-1,73780
šťastný,1,72431
ľahký,1,71149
rozhodne,1,71115
ľahko,1,70348
tradičný,1,70306
zle,-1,69997
vážne,-1,69890
pozitívny,1,69277
reálny,1,68626
drahý,-1,67976
správne,1,67885
mimoriadne,1,67059
cudzí,-1,64654
aktívny,1,62143
demokratický,1,61985
jednoducho,1,61454
cenný,1,61294
nebezpečný,-1,60840
presný,1,60310
zdravý,1,59474
jedlo,1,59059
samostatný,1,59012
zvláštny,1,58603
milý,1,57125
zlato,1,56962
príjemný,1,56805
negatívny,-1,55940
prirodzený,1,55671
mimoriadny,1,54348
slobodný,1,54132
súčasne,1,53494
nevyhnutný,1,53430
tesne,-1,53005
lacný,1,51584
pevný,1,51267
slávny,1,50904
prakticky,1,50303
nezávislý,1,49692
obľúbený,-1,49664
chorý,-1,48966
postihnutý,-1,48789
úplný,1,48600
chudobný,-1,48080
víťazný,1,47745
jednoznačne,1,47371
ochotný,1,47132
slávnostný,1,46622
jasne,1,45967
zodpovedný,1,45928
skúsený,1,45053
profesionálny,1,44078
platný,1,43112
pozitívne,1,42387
zranený,-1,41881
zložitý,-1,41874
výkonný,1,41819
normálny,1,41632
komunistický,-1,41080
poriadne,1,40667
smutný,-1,39251
výhodný,1,39207
maximálny,1,38834
vyrovnaný,1,38104
praktický,1,37951
pokojný,1,37463
úspešne,1,37140
nepríjemný,-1,36776
kritický,-1,36608
dostatočný,1,36422
žiadny,-1,36381
mierny,1,36360
zbytočný,-1,36233
dostatočne,1,36026
slnečný,1,35569
vzácny,1,35410
kráľovský,1,35346
čerstvý,1,34344
dramatický,-1,34326
pokojne,1,34192
suchý,-1,33887
absolútny,1,33628
populárny,1,33462
pekne,1,33282
obvinený,-1,33191
aktuálne,1,32099
špeciálne,1,32094
prirodzene,1,31760
účinný,1,31555
maximálne,1,31537
