slovo,emocia,vyskyty
aktívne,1,2
aktívny,1,3
búrlivo,-2,1
chladnokrvný,-2,1
disciplinovane,1,2
dobre,1,5
dôležitý,1,1
dynamický,1,2
fantasticky,3,1
fantastický,3,1
hrozný,-2,2
húževnatý,1,1
jasné,1,1
jednoznačne,1,1
jednoznačný,1,1
jedovatý,-1,1
kontroverzný,-1,1
krásne,2,3
krásny,2,6
milo,1,4
nádherne,2,1
nádherný,2,1
napätie,-1,1
nebezpečne,-1,1
nebezpečný,-1,1
neohrozený,1,1
neprehľadný,-1,2
nepresne,-1,5
nepresný,-1,1
nepríjemne,-1,1
nepríjemný,-1,3
nešastný,-1,1
netrpezlivo,-1,1
neúspešne,-1,8
nevýrazný,-1,1
obetavo,1,1
oddychový,1,2
ohrozený,-1,1
oslabenie,-1,4
pekne,1,1
pekný,1,1
posledné,-1,1
posledný,-1,1
pozorne,1,1
pozorný,1,2
presne,1,1
rýchle,1,1
rýchlo,1,2
samostatný,1,1
silný,1,1
škandalózne,-1,1
strašný,-2,1
ťažký,-1,1
tesne,-1,2
tradièný,1,1
úplne,1,3
úporne,-1,1
úspešne,1,1
útočný,-1,4
uznaný,1,1
vážne,-1,1
vážny,-1,1
výborne,2,1
výborný,2,1
výrazne,1,1
zaujímavý,1,1
zbytočný,-1,1
zlato,1,3
zlatý,1,1
zlé,-1,4
