slovo,emocia,vyskyty
absolútne,1,7
absolútny,1,1
absurdný,-2,1
agresívne,-1,1
asketický,1,1
bezduchý,-2,1
bezmocný,-1,1
bežný,1,2
bezradne,-1,2
bezúhonný,1,1
bezvýsledne,-1,1
bezvýznamný,-2,1
blahodarný,1,1
bláznivý,-2,2
bledý,-1,1
bohato,1,1
bohatý,1,1
bojovný,-1,2
božský,3,1
búrlivý,-2,1
cenný,1,1
čerstvý,1,1
chladný,-1,1
chorý,-1,4
chudobný,-1,1
chudý,-1,1
chybný,-1,3
čistiť,2,1
čisto,2,1
čistý,2,3
citlivý,-1,1
cudný,1,1
čudný,-2,3
cudzí,-1,16
cvičenie,1,2
demokraticky,1,1
deravý,-1,1
detinský,-1,3
divoký,-1,2
dobrácky,1,2
dobre,1,31
dobré,1,3
dobro,1,2
dobrosrdečný,2,3
dobrý,1,14
dočasný,-1,3
dôkladný,1,1
dôležitý,1,8
domáca,1,3
domáci,1,1
domácky,1,1
dôsledne,1,1
dôstojne,1,1
dostupný,1,2
dotieravo,-2,1
dotknutý,-1,1
dôverčivý,-1,1
dôverný,1,1
drahá,-1,2
drsný,-1,2
družne,1,1
dutý,-2,2
efektný,1,1
exaktný,1,10
expresívne,-1,2
falošný,-1,5
geniálny,3,1
gýčovitý,-1,1
hanblivý,-1,1
hanebný,-2,1
hlasne,-1,1
hlasný,-1,4
hlúpo,-2,1
hmlisto,-1,1
hmlistý,-1,2
hodný,1,1
horko,-1,1
horšiť,-1,1
horúčkovito,1,1
hrboľatý,-1,1
hrdo,1,2
hrdý,1,2
hriešny,-1,1
hrozivo,-2,1
hrozivý,-2,2
hrozno,-2,1
husto,1,1
hustý,1,1
ideálne,2,1
inteligentný,1,2
intenzívny,1,1
irelevantný,-1,1
ironicky,-1,1
jasné,1,8
jasno,1,2
jasný,1,4
jedinečný,2,40
jednoducho,1,36
jednoduchý,1,6
jednotný,1,1
jednoznačný,1,1
jemne,1,1
kadejaký,-1,2
katastrofický,-2,1
klzký,-1,2
komfortne,1,1
kompletne,1,1
kompletný,1,1
korektný,1,1
krásne,2,4
krásny,2,3
krátkozraký,-1,1
krehký,-1,1
krikľavo,-1,1
kritický,-1,2
krivý,-1,1
krkolomný,-2,1
krotký,1,1
krutý,-2,1
kultúrne,1,1
kvalitný,1,1
labilný,-1,1
lacno,1,2
lacný,1,1
ladný,1,1
ľahko,1,7
ľahký,1,6
lakomý,-1,1
láskavý,1,2
lepkavý,-1,1
liečebný,1,1
liečivý,1,2
logický,1,5
ľubozvučný,1,1
lživý,-2,1
magický,2,2
majestátne,2,2
mäkko,1,1
mäkký,1,3
malebne,1,1
malebný,1,3
márne,-1,11
márny,-1,1
mastný,-1,1
medový,1,1
meravý,-1,1
mierne,1,1
milovanie,2,2
milý,1,3
mimoriadne,1,3
mizerný,-2,2
moderne,1,1
moderný,1,3
mohutný,1,2
mokrý,-1,2
morálny,1,1
mŕtva,-2,1
mŕtvo,-2,1
mŕtvy,-2,2
mrzký,-2,1
múdro,1,1
múdry,1,2
mylný,-1,3
nadaný,1,1
nádejný,1,1
náhlivo,-1,1
naivne,-1,2
nákazlivý,-1,1
náladovo,-1,1
náladový,-1,1
namáhavý,-1,1
náramne,1,1
náročný,-1,1
náruživý,1,2
názorne,1,2
nebezpečný,-1,1
nečakane,-1,3
nečakaný,-1,4
