slovo,emocia,vyskyty
absolútne,1,1
bežný,1,6
bezpečne,2,1
bezpečný,2,1
bezplatný,1,1
bohatý,1,1
cenný,1,1
chránený,1,1
chronický,-1,1
čisto,2,1
čistý,2,1
citlivý,-1,1
čudný,-2,1
desivý,-2,1
diskutabilný,-1,1
dobre,1,8
dobré,1,2
dobrodružne,1,1
dobrý,1,5
dôležitý,1,1
domáca,1,2
dostatočná,1,1
dostupný,1,6
ekologický,1,1
ekonomický,1,1
hojný,1,1
hrdiť,1,1
ideálne,2,1
infantilný,-1,1
informovanie,1,1
inšpiratívny,1,1
intelektuálne,1,1
iracionálny,-1,1
jednoducho,1,6
jednotný,1,2
korektný,1,1
krvavý,-1,1
kultúrny,1,1
kvalitný,1,1
lacný,1,2
ľahko,1,4
ľahký,1,1
logický,1,1
maximálny,1,1
mierne,1,1
mimoriadne,1,1
moderný,1,3
módne,1,1
nacionalistický,-1,1
nadpriemerne,1,1
náročne,-1,1
násilný,-2,2
nečakaný,-1,1
nechutný,-1,1
neefektívny,-1,1
neistý,-1,1
nekvalitný,-1,1
nepopierateľný,-1,1
nepríjemný,-1,1
neschopný,-1,1
nespokojný,-1,2
neúnosný,-1,1
neuveriteľný,1,3
nevyhnutný,1,1
nezamestnaný,-1,1
nezávislý,1,1
nezlučiteľný,-1,1
nežnieť,1,2
obľúbený,-1,1
obsadený,-1,2
ochotný,1,1
odvážne,1,1
oprávnený,1,1
optimistický,1,1
opustený,-1,1
otvorenie,1,1
overený,1,1
pevný,1,1
pichľavý,-1,1
pokútne,-1,1
policajný,-1,1
polomŕtvy,-2,1
posledné,-1,4
posledný,-1,8
potrebný,1,2
prakticky,1,2
praktický,1,1
presne,1,2
prestížny,1,1
presvedčivý,1,1
príjemný,1,1
produktívny,1,1
profesionálny,1,5
prudko,-1,1
reálne,1,1
reálny,1,1
relevantný,1,1
rýchle,1,3
rýchlo,1,5
rýchly,1,3
samostatný,1,1
šikovný,1,1
silný,1,2
skutočne,1,3
skutočný,1,1
slabo,-1,1
slobodne,1,1
slušný,1,1
smrteľný,-2,1
smutný,-1,1
spoločenský,1,1
sporadický,-1,1
správne,1,1
správny,1,2
stabilný,1,1
stará,-1,3
starať,-1,1
starý,-1,5
šťastný,1,1
súčasný,1,1
talentovaný,1,1
ťažko,-1,2
ťažký,-1,4
tesne,-1,1
tesný,-1,1
tragické,-2,1
tragický,-2,1
triumfálny,2,1
tuctový,-1,1
účinný,1,1
úhlavný,-1,1
umierajúci,-2,1
úplne,1,3
urážlivý,-1,1
úspešný,1,1
ustráchaný,-1,1
vlhko,-1,1
výnimočný,3,1
výrazne,1,10
výrazný,1,7
vyspelý,1,2
významný,1,2
vzácne,1,1
zábavný,1,1
zanedbaný,-1,1
zaskočený,-1,1
závažný,-1,1
zdravo,1,1
zlatý,1,2
zle,-1,7
zlé,-1,2
zlo,-1,1
zlý,-1,2
známa,1,2
znať,1,1
zrozumiteľný,1,1
